report_id,recommendation_id,recommendation,extra_recommendation_context,safety_issue,quality,link
2013_003,005/16,"Reinstate research into the dynamic behaviour of two-bladed, teetering, underslung rotor systems, taking full advantage of available technology, with the aim of achieving the original goal of NTSB recommendation A-96-12.",,"four of the seven fatal R66 accidents that have occurred globally since the type was introduced into service in 2010 were mast bump or low-main-rotor-RPM accidents, accident types seen with the smaller R22 and R44, which have the same main rotor design. However, the R66 was certificated without any special pilot training requirements or operating restrictions such as the minimum pilot experience and maximum wind strength that apply to the R22
",exact,None
2013_003,005/16,"Reinstate research into the dynamic behaviour of two-bladed, teetering, underslung rotor systems, taking full advantage of available technology, with the aim of achieving the original goal of NTSB recommendation A-96-12.",,"the flight manuals for Robinson helicopters did not adequately warn pilots of the hazardous operating practices and environmental conditions that can lead rapidly to a catastrophic mast bump
",exact,None
2013_003,005/16,"Reinstate research into the dynamic behaviour of two-bladed, teetering, underslung rotor systems, taking full advantage of available technology, with the aim of achieving the original goal of NTSB recommendation A-96-12.",,"earlier research into the flight control systems and dynamic behaviour of the main rotor of lightweight helicopters, such as the design used by Robinson, was not completed as intended. Until the behaviour of such rotor systems in conditions of low G and turbulence is fully understood, it is possible that not all of the causal factors of mast bump accidents will be identified.
",exact,Confirmed
2013_003,002/16,"The Commission recommended to the Director of Civil Aviation that he include the knowledge and training requirements of Special Federal Aviation Regulation No. 73, or an equivalent requirement, as a prerequisite for the issue of a Robinson R66 type rating.",,"four of the seven fatal R66 accidents that have occurred globally since the type was introduced into service in 2010 were mast bump or low-main-rotor-RPM accidents, accident types seen with the smaller R22 and R44, which have the same main rotor design. However, the R66 was certificated without any special pilot training requirements or operating restrictions such as the minimum pilot experience and maximum wind strength that apply to the R22
",exact,Confirmed
2013_003,002/16,"The Commission recommended to the Director of Civil Aviation that he include the knowledge and training requirements of Special Federal Aviation Regulation No. 73, or an equivalent requirement, as a prerequisite for the issue of a Robinson R66 type rating.",,"the flight manuals for Robinson helicopters did not adequately warn pilots of the hazardous operating practices and environmental conditions that can lead rapidly to a catastrophic mast bump
",exact,None
2013_003,002/16,"The Commission recommended to the Director of Civil Aviation that he include the knowledge and training requirements of Special Federal Aviation Regulation No. 73, or an equivalent requirement, as a prerequisite for the issue of a Robinson R66 type rating.",,"earlier research into the flight control systems and dynamic behaviour of the main rotor of lightweight helicopters, such as the design used by Robinson, was not completed as intended. Until the behaviour of such rotor systems in conditions of low G and turbulence is fully understood, it is possible that not all of the causal factors of mast bump accidents will be identified.
",exact,None
2013_003,011/16,"The Commission recommended to the Director of Civil Aviation that he promptly publicise the recent changes to the Robinson R66 (and R44) Pilot's Operating Handbooks that caution against flight in high winds and turbulence, and which advise pilots to reduce power and speed if turbulence is expected or encountered.",,"four of the seven fatal R66 accidents that have occurred globally since the type was introduced into service in 2010 were mast bump or low-main-rotor-RPM accidents, accident types seen with the smaller R22 and R44, which have the same main rotor design. However, the R66 was certificated without any special pilot training requirements or operating restrictions such as the minimum pilot experience and maximum wind strength that apply to the R22
",exact,Confirmed
2013_003,011/16,"The Commission recommended to the Director of Civil Aviation that he promptly publicise the recent changes to the Robinson R66 (and R44) Pilot's Operating Handbooks that caution against flight in high winds and turbulence, and which advise pilots to reduce power and speed if turbulence is expected or encountered.",,"the flight manuals for Robinson helicopters did not adequately warn pilots of the hazardous operating practices and environmental conditions that can lead rapidly to a catastrophic mast bump
",exact,Confirmed
2013_003,011/16,"The Commission recommended to the Director of Civil Aviation that he promptly publicise the recent changes to the Robinson R66 (and R44) Pilot's Operating Handbooks that caution against flight in high winds and turbulence, and which advise pilots to reduce power and speed if turbulence is expected or encountered.",,"earlier research into the flight control systems and dynamic behaviour of the main rotor of lightweight helicopters, such as the design used by Robinson, was not completed as intended. Until the behaviour of such rotor systems in conditions of low G and turbulence is fully understood, it is possible that not all of the causal factors of mast bump accidents will be identified.
",exact,None
2013_003,004/16,"The Commission recommended to the Administrator, FAA that he
extend the knowledge and training requirements of Special Federal Aviation Regulation No. 73 to pilots of the Robinson R66 helicopter.",,"four of the seven fatal R66 accidents that have occurred globally since the type was introduced into service in 2010 were mast bump or low-main-rotor-RPM accidents, accident types seen with the smaller R22 and R44, which have the same main rotor design. However, the R66 was certificated without any special pilot training requirements or operating restrictions such as the minimum pilot experience and maximum wind strength that apply to the R22
",exact,Confirmed
2013_003,004/16,"The Commission recommended to the Administrator, FAA that he
extend the knowledge and training requirements of Special Federal Aviation Regulation No. 73 to pilots of the Robinson R66 helicopter.",,"the flight manuals for Robinson helicopters did not adequately warn pilots of the hazardous operating practices and environmental conditions that can lead rapidly to a catastrophic mast bump
",exact,None
2013_003,004/16,"The Commission recommended to the Administrator, FAA that he
extend the knowledge and training requirements of Special Federal Aviation Regulation No. 73 to pilots of the Robinson R66 helicopter.",,"earlier research into the flight control systems and dynamic behaviour of the main rotor of lightweight helicopters, such as the design used by Robinson, was not completed as intended. Until the behaviour of such rotor systems in conditions of low G and turbulence is fully understood, it is possible that not all of the causal factors of mast bump accidents will be identified.
",exact,None
