report_id,recommendation_id,recommendation,extra_recommendation_context,safety_issue,quality,link
2010_010,027/12,"""On date the Commission recommended to the Director of Civil Aviation that he urge Transport Canada to:
- note the instances of false verification of landing gear position reported for the Q300 and some related aeroplanes and the potential for a false indication to cause an accident, and
- require Bombardier Aerospace to take action to improve the reliability and dependability of the down-lock verification system""",,"Assuming that the reason for the nose landing gear not fully extending was debris in the hydraulic fluid, it is possible that cycling the landing gear up and down again would have succeeded in getting all of the landing gear down and locked. However, that action was not recommended by the aeroplane manufacturer at the time.
",exact,None
2010_010,027/12,"""On date the Commission recommended to the Director of Civil Aviation that he urge Transport Canada to:
- note the instances of false verification of landing gear position reported for the Q300 and some related aeroplanes and the potential for a false indication to cause an accident, and
- require Bombardier Aerospace to take action to improve the reliability and dependability of the down-lock verification system""",,"Had the pilots known that the nose landing gear was not down and locked and then tried the alternate extension procedure, that action would have been unlikely to succeed because debris would probably still have been blocking the restrictor within the hydraulic actuator.
",exact,None
2010_010,027/12,"""On date the Commission recommended to the Director of Civil Aviation that he urge Transport Canada to:
- note the instances of false verification of landing gear position reported for the Q300 and some related aeroplanes and the potential for a false indication to cause an accident, and
- require Bombardier Aerospace to take action to improve the reliability and dependability of the down-lock verification system""",,"The aural warnings that not all of the landing gear was locked down were genuine warnings. Pilots must respect warnings. In this case, the pilots should have responded by performing a go-around, which would have given them more time to consider the situation.
",exact,None
2010_010,027/12,"""On date the Commission recommended to the Director of Civil Aviation that he urge Transport Canada to:
- note the instances of false verification of landing gear position reported for the Q300 and some related aeroplanes and the potential for a false indication to cause an accident, and
- require Bombardier Aerospace to take action to improve the reliability and dependability of the down-lock verification system""",,"The captain should have explained to the flight attendant the reason for the go-around, even though he believed that the situation had been resolved. The flight attendant would have been better prepared should the landing have been less favourable.
",exact,None
2010_010,027/12,"""On date the Commission recommended to the Director of Civil Aviation that he urge Transport Canada to:
- note the instances of false verification of landing gear position reported for the Q300 and some related aeroplanes and the potential for a false indication to cause an accident, and
- require Bombardier Aerospace to take action to improve the reliability and dependability of the down-lock verification system""",,"The captain's predetermination of what was going to be required to get the landing gear down and locked interfered with the proper following of the QRH checklist; nevertheless, all of the items were covered.
",exact,None
2010_010,027/12,"""On date the Commission recommended to the Director of Civil Aviation that he urge Transport Canada to:
- note the instances of false verification of landing gear position reported for the Q300 and some related aeroplanes and the potential for a false indication to cause an accident, and
- require Bombardier Aerospace to take action to improve the reliability and dependability of the down-lock verification system""",,"The damage to the seals within the extend/retract hydraulic actuator could have initially been caused by a manufacturing defect in the seals or by an incorrect assembly technique. The damage may have been exacerbated by debris in the hydraulic fluid that originated from excessive wear in another actuator in the system, the one that opened and closed the forward nose landing gear doors.
",exact,None
2010_010,027/12,"""On date the Commission recommended to the Director of Civil Aviation that he urge Transport Canada to:
- note the instances of false verification of landing gear position reported for the Q300 and some related aeroplanes and the potential for a false indication to cause an accident, and
- require Bombardier Aerospace to take action to improve the reliability and dependability of the down-lock verification system""",,"The failure of the nose landing gear to extend fully was most likely caused by debris in the hydraulic fluid blocking orifices within the nose landing gear extend/retract hydraulic actuator. The debris probably came from damaged seals within the actuator.
",exact,None
2010_010,027/12,"""On date the Commission recommended to the Director of Civil Aviation that he urge Transport Canada to:
- note the instances of false verification of landing gear position reported for the Q300 and some related aeroplanes and the potential for a false indication to cause an accident, and
- require Bombardier Aerospace to take action to improve the reliability and dependability of the down-lock verification system""",,"The false green light on the verification system misled the pilots of ZK-NEB into believing that the nose landing gear was fully down and locked.
",exact,Confirmed
2010_010,027/12,"""On date the Commission recommended to the Director of Civil Aviation that he urge Transport Canada to:
- note the instances of false verification of landing gear position reported for the Q300 and some related aeroplanes and the potential for a false indication to cause an accident, and
- require Bombardier Aerospace to take action to improve the reliability and dependability of the down-lock verification system""",,"The pilots did not use all of the available resources to confirm the nose landing gear position. If they had asked the controller to confirm the status of the nose landing gear, it is likely that they would have taken further action in an attempt to get the nose landing gear locked down.
",exact,None
2010_010,027/12,"""On date the Commission recommended to the Director of Civil Aviation that he urge Transport Canada to:
- note the instances of false verification of landing gear position reported for the Q300 and some related aeroplanes and the potential for a false indication to cause an accident, and
- require Bombardier Aerospace to take action to improve the reliability and dependability of the down-lock verification system""",,"The verification system for checking if the landing gear is down and locked on the Dash 8 series of aircraft is not reliable enough for pilots to place total trust in it when trying to establish the status of the landing gear.
",exact,Confirmed
