report_id,recommendation_id,recommendation,extra_recommendation_context,safety_issue,quality,link
2015_101,018/16,"On 25 August 2016 the Commission recommended to the Chief Executive of the NZ Transport Agency that he liaise with KiwiRail and relevant road controlling authorities to assess and confirm which provincial level crossings have significant safety issues that do not align with the NZ Transport Agency's Traffic Control Devices Manual - Part 9 - Level Crossings, then work with the authorities to ensure that safety improvements are prioritised and implemented.",,"There were no active visual alarms or physical barriers to prevent pedestrians exiting the Morningside Station platform and inadvertently entering the Morningside Drive pedestrian level crossing when trains approached.
",exact,None
2015_101,018/16,"On 25 August 2016 the Commission recommended to the Chief Executive of the NZ Transport Agency that he liaise with KiwiRail and relevant road controlling authorities to assess and confirm which provincial level crossings have significant safety issues that do not align with the NZ Transport Agency's Traffic Control Devices Manual - Part 9 - Level Crossings, then work with the authorities to ensure that safety improvements are prioritised and implemented.",,"The regulatory and operational accountabilities of the Auckland metro system do not expressly deal with responsibility for safety and control at the boundaries between station platforms and the rail corridor.
",exact,None
2015_101,018/16,"On 25 August 2016 the Commission recommended to the Chief Executive of the NZ Transport Agency that he liaise with KiwiRail and relevant road controlling authorities to assess and confirm which provincial level crossings have significant safety issues that do not align with the NZ Transport Agency's Traffic Control Devices Manual - Part 9 - Level Crossings, then work with the authorities to ensure that safety improvements are prioritised and implemented.",,"The level of protection for people using pedestrian level crossings in the Auckland metro network is currently inadequate because the risk assessment process for pedestrian level crossings is not keeping pace with the infrastructure changes and increasing patronage.
",exact,None
2015_101,018/16,"On 25 August 2016 the Commission recommended to the Chief Executive of the NZ Transport Agency that he liaise with KiwiRail and relevant road controlling authorities to assess and confirm which provincial level crossings have significant safety issues that do not align with the NZ Transport Agency's Traffic Control Devices Manual - Part 9 - Level Crossings, then work with the authorities to ensure that safety improvements are prioritised and implemented.",,"A large percentage of pedestrian level crossings located in provincial areas do not fully conform with guidelines within the NZ Transport Agency's Traffic Control Devices Manual - Part 9 - Level Crossings.
",exact,Confirmed
2015_101,013/15,"On 30 July 2015 the Commission recommends that the Chief Executive of the NZ Transport Agency liaise with the relevant road control authorities in Auckland and Wellington, and KiwiRail, to review all pedestrian rail crossings and ensure that they address the safety issue whereby they have a level of protection commensurate with the level of risk currently and in the immediate future.",,"There were no active visual alarms or physical barriers to prevent pedestrians exiting the Morningside Station platform and inadvertently entering the Morningside Drive pedestrian level crossing when trains approached.
",exact,None
2015_101,013/15,"On 30 July 2015 the Commission recommends that the Chief Executive of the NZ Transport Agency liaise with the relevant road control authorities in Auckland and Wellington, and KiwiRail, to review all pedestrian rail crossings and ensure that they address the safety issue whereby they have a level of protection commensurate with the level of risk currently and in the immediate future.",,"The regulatory and operational accountabilities of the Auckland metro system do not expressly deal with responsibility for safety and control at the boundaries between station platforms and the rail corridor.
",exact,None
2015_101,013/15,"On 30 July 2015 the Commission recommends that the Chief Executive of the NZ Transport Agency liaise with the relevant road control authorities in Auckland and Wellington, and KiwiRail, to review all pedestrian rail crossings and ensure that they address the safety issue whereby they have a level of protection commensurate with the level of risk currently and in the immediate future.",,"The level of protection for people using pedestrian level crossings in the Auckland metro network is currently inadequate because the risk assessment process for pedestrian level crossings is not keeping pace with the infrastructure changes and increasing patronage.
",exact,Confirmed
2015_101,013/15,"On 30 July 2015 the Commission recommends that the Chief Executive of the NZ Transport Agency liaise with the relevant road control authorities in Auckland and Wellington, and KiwiRail, to review all pedestrian rail crossings and ensure that they address the safety issue whereby they have a level of protection commensurate with the level of risk currently and in the immediate future.",,"A large percentage of pedestrian level crossings located in provincial areas do not fully conform with guidelines within the NZ Transport Agency's Traffic Control Devices Manual - Part 9 - Level Crossings.
",exact,Confirmed
2015_101,010/15,"On 30 July 20152 the Commission recommends that the Chief Executive of the NZ Transport Agency liaise with the relevant road control  authorities in Auckland and Wellington, and KiwiRail, to review all pedestrian rail crossings and ensure that they address the safety issue whereby they have a level of protection commensurate with the level of risk currently and in the immediate future.",,"There were no active visual alarms or physical barriers to prevent pedestrians exiting the Morningside Station platform and inadvertently entering the Morningside Drive pedestrian level crossing when trains approached.
",exact,Confirmed
2015_101,010/15,"On 30 July 20152 the Commission recommends that the Chief Executive of the NZ Transport Agency liaise with the relevant road control  authorities in Auckland and Wellington, and KiwiRail, to review all pedestrian rail crossings and ensure that they address the safety issue whereby they have a level of protection commensurate with the level of risk currently and in the immediate future.",,"The regulatory and operational accountabilities of the Auckland metro system do not expressly deal with responsibility for safety and control at the boundaries between station platforms and the rail corridor.
",exact,None
